NRM_position,NRM_error,NRM_velocity,DNN_position,DNN_error,DNN_velocity,CNN_position,CNN_error,CNN_velocity,FSCNN_position,FSCNN_error,FSCNN_velocity,field_v,field_s
19.65,14.38998,1.29,19.65,9.9811,1.29,19.65,6.84194,1.29,19.65,4.72022,1.29,1.29,19.65
19.39,14.00294,1.29,19.39,9.794,1.29,19.39,6.63334,1.29,19.39,4.60196,1.29,1.29,19.39
19.07,13.73391,1.29,19.07,9.56154,1.29,19.07,6.43493,1.29,19.07,4.49552,1.29,1.29,19.07
18.75,13.40487,1.29,18.75,9.34489,1.29,18.75,6.23838,1.29,18.75,4.40373,1.29,1.29,18.75
18.43,13.08487,1.28,18.43,9.15857,1.28,18.43,6.07318,1.28,18.43,4.30462,1.28,1.28,18.43
18.11,13.01463,1.28,18.11,8.94035,1.28,18.11,5.91041,1.28,18.11,4.19743,1.28,1.28,18.11
17.73,12.60606,1.28,17.73,8.71813,1.28,17.73,5.74808,1.28,17.73,4.10288,1.28,1.28,17.73
17.47,12.18146,1.27,17.47,8.5292,1.27,17.47,5.59698,1.27,17.47,4.0112,1.27,1.27,17.47
17.17,12.14226,1.27,17.17,8.3032,1.27,17.17,5.46467,1.27,17.17,3.92288,1.27,1.27,17.17
16.77,11.74563,1.27,16.77,8.09571,1.27,16.77,5.3424,1.27,16.77,3.81963,1.27,1.27,16.77
16.53,11.2925,1.27,16.53,7.92388,1.27,16.53,5.20607,1.27,16.53,3.72586,1.27,1.27,16.53
16.21,11.02582,1.27,16.21,7.7031,1.27,16.21,5.07873,1.27,16.21,3.64387,1.27,1.27,16.21
15.91,10.69691,1.27,15.91,7.47708,1.27,15.91,4.95285,1.27,15.91,3.54656,1.27,1.27,15.91
15.57,10.38799,1.27,15.57,7.30262,1.27,15.57,4.8222,1.27,15.57,3.45261,1.27,1.27,15.57
15.27,10.04799,1.27,15.27,7.10012,1.27,15.27,4.69322,1.27,15.27,3.36618,1.27,1.27,15.27
14.93,9.74799,1.27,14.93,6.86473,1.27,14.93,4.5548,1.27,14.93,3.28254,1.27,1.27,14.93
14.61,9.40799,1.26,14.61,6.66622,1.26,14.61,4.42248,1.26,14.61,3.17745,1.26,1.26,14.61
14.29,9.33446,1.26,14.29,6.44881,1.26,14.29,4.28859,1.26,14.29,3.09452,1.26,1.26,14.29
14.41,8.9271,1.26,14.41,6.23338,1.26,14.41,4.14749,1.26,14.41,3.00397,1.26,1.26,14.41
14.15,9.00311,1.26,14.15,6.00094,1.26,14.15,4.02301,1.26,14.15,2.91364,1.26,1.26,14.15
13.83,8.71661,1.26,13.83,5.94823,1.26,13.83,3.93366,1.26,13.83,2.81863,1.26,1.26,13.83
13.51,8.38776,1.26,13.51,5.92311,1.26,13.51,3.83824,1.26,13.51,2.73677,1.26,1.26,13.51
13.21,8.0589,1.26,13.21,5.70676,1.26,13.21,3.75146,1.26,13.21,2.64896,1.26,1.26,13.21
12.89,7.7589,1.26,12.89,5.45894,1.26,12.89,3.66253,1.26,12.89,2.56998,1.26,1.26,12.89
12.51,7.4389,1.26,12.51,5.32329,1.26,12.51,3.5742,1.26,12.51,2.48156,1.26,1.26,12.51
12.25,7.0589,1.26,12.25,5.11197,1.26,12.25,3.49539,1.26,12.25,2.41585,1.26,1.26,12.25
11.93,6.7989,1.26,11.93,4.87069,1.26,11.93,3.35165,1.26,11.93,2.34313,1.26,1.26,11.93
11.61,6.4789,1.26,11.61,4.65162,1.26,11.61,3.2326,1.26,11.61,2.2476,1.26,1.26,11.61
11.31,6.1589,1.26,11.31,4.46573,1.26,11.31,3.11596,1.26,11.31,2.1716,1.26,1.26,11.31
10.99,5.8589,1.25,10.99,4.25033,1.25,10.99,2.93353,1.25,10.99,2.08599,1.25,1.25,10.99
10.67,5.78373,1.25,10.67,4.0276,1.25,10.67,2.78618,1.25,10.67,1.99916,1.25,1.25,10.67
10.37,5.37697,1.25,10.37,3.83619,1.25,10.37,2.65214,1.25,10.37,1.89977,1.25,1.25,10.37
10.05,5.03328,1.25,10.05,3.62755,1.25,10.05,2.51919,1.25,10.05,1.82538,1.25,1.25,10.05
9.73,4.68696,1.25,9.73,3.43202,1.25,9.73,2.37672,1.25,9.73,1.74067,1.25,1.25,9.73
9.41,4.35817,1.25,9.41,3.23638,1.25,9.41,2.24836,1.25,9.41,1.64285,1.25,1.25,9.41
9.11,4.02937,1.25,9.11,3.01576,1.25,9.11,2.1149,1.25,9.11,1.55902,1.25,1.25,9.11
8.73,3.72937,1.25,8.73,2.80023,1.25,8.73,1.98029,1.25,8.73,1.46974,1.25,1.25,8.73
8.49,3.34937,1.25,8.49,2.59866,1.25,8.49,1.84581,1.25,8.49,1.36773,1.25,1.25,8.49
8.17,3.10937,1.24,8.17,2.36641,1.24,8.17,1.71269,1.24,8.17,1.26755,1.24,1.24,8.17
7.87,3.03256,1.24,7.87,2.15461,1.24,7.87,1.57874,1.24,7.87,1.17214,1.24,1.24,7.87
7.57,2.6464,1.24,7.57,1.97334,1.24,7.57,1.44691,1.24,7.57,1.07623,1.24,1.24,7.57
7.23,2.30301,1.24,7.23,1.77857,1.24,7.23,1.31967,1.24,7.23,0.97354,1.24,1.24,7.23
6.87,1.93688,1.24,6.87,1.57617,1.24,6.87,1.19047,1.24,6.87,0.8827,1.24,1.24,6.87
