NRM_position,NRM_error,NRM_velocity,DNN_position,DNN_error,DNN_velocity,CNN_position,CNN_error,CNN_velocity,FSCNN_position,FSCNN_error,FSCNN_velocity,field_v,field_s
6.63,1.56815,1.24,6.63,1.38798,1.24,6.63,1.07591,1.24,6.63,0.77963,1.24,1.24,6.63
6.31,1.31941,1.24,6.31,1.13851,1.24,6.31,0.97139,1.24,6.31,0.68971,1.24,1.24,6.31
5.99,0.99941,1.24,5.99,0.93986,1.24,5.99,0.84535,1.24,5.99,0.60497,1.24,1.24,5.99
5.63,0.67941,1.24,5.69,0.75659,1.24,5.65,0.70917,1.24,5.69,0.51077,1.24,1.24,5.69
5.05,0.37941,1.24,5.11,0.53381,1.24,5.07,0.60259,1.24,5.01,0.43303,1.24,1.23,5.37
4.75,0.30095,1.24,4.81,0.31579,1.24,4.77,0.44162,1.24,4.71,0.37573,1.24,1.23,5.01
4.45,-0.1446,1.24,4.51,-0.03331,1.24,4.47,-0.08378,1.24,4.41,-0.1925,1.24,1.23,4.75
4.13,-0.44769,1.24,4.19,-0.47754,1.24,4.15,-0.39579,1.24,4.09,-0.56945,1.24,1.23,4.45
3.71,-0.77364,1.24,3.83,-0.97914,1.24,3.79,-0.56557,1.24,3.73,-0.67028,1.24,1.23,4.13
3.47,-1.10231,1.24,3.59,-1.38689,1.24,3.55,-0.74531,1.24,3.49,-0.8009,1.24,1.23,3.83
3.15,-1.41099,1.24,3.27,-1.79841,1.24,3.23,-0.97265,1.24,3.17,-0.98479,1.24,1.23,3.51
2.85,-1.73099,1.23,2.97,-2.21038,1.23,2.93,-1.1687,1.23,2.87,-1.15935,1.23,1.23,3.15
2.55,-2.09099,1.23,2.67,-2.60896,1.23,2.63,-1.35589,1.23,2.57,-1.33464,1.23,1.23,2.91
2.23,-2.33099,1.23,2.35,-3.00917,1.23,2.31,-1.58135,1.23,2.25,-1.52173,1.23,1.23,2.59
1.93,-2.65099,1.2,2.05,-3.42217,1.2,2.01,-1.78415,1.2,1.95,-1.70721,1.2,1.22,2.29
1.65,-2.71109,1.17,1.77,-3.77823,1.17,1.73,-1.97841,1.17,1.67,-1.88096,1.17,1.22,1.99
1.39,-3.09603,1.1,1.51,-4.16699,1.1,1.47,-2.19993,1.1,1.41,-2.06732,1.1,1.22,1.67
1.11,-3.45882,0.99,1.23,-4.56692,0.99,1.19,-2.40371,0.99,1.13,-2.25329,0.99,1.19,1.37
0.93,,0.92,1.05,,0.92,1.01,,0.92,0.95,,0.92,1.16,1.09
0.7,,0.86,0.82,,0.86,0.78,,0.86,0.73,,0.86,1.09,0.83
0.49,,0.75,0.61,,0.75,0.57,,0.75,0.52,,0.75,0.98,0.55
0.34,,0.67,0.46,,0.67,0.42,,0.67,0.37,,0.67,0.91,0.37
0.22,,0.54,0.34,,0.54,0.3,,0.54,0.25,,0.54,0.85,0.15
0.1,,0.48,0.22,,0.48,0.18,,0.48,0.13,,0.48,0.74,-0.06
0.03,,0.36,0.15,,0.36,0.11,,0.36,0.06,,0.36,0.66,-0.21
-0.01,,0.29,0.11,,0.29,0.07,,0.29,0.02,,0.29,0.53,-0.33
-0.04,,0.17,0.08,,0.17,0.04,,0.17,-0.01,,0.17,0.47,-0.45
-0.04,,0.1,0.08,,0.1,0.04,,0.1,-0.01,,0.1,0.35,-0.52
-0.04,,0.05,0.08,,0.05,0.04,,0.05,-0.01,,0.05,0.28,-0.56
-0.04,,0.05,0.08,,0.05,0.04,,0.05,-0.01,,0.05,0.16,-0.59
-0.04,,0.04,0.08,,0.04,0.04,,0.04,-0.01,,0.04,0.09,-0.59
-0.04,,0.04,0.08,,0.04,0.04,,0.04,-0.01,,0.04,0.04,-0.59
-0.04,,0.03,0.08,,0.03,0.04,,0.03,-0.01,,0.03,0.04,-0.59
-0.04,,0.03,0.08,,0.03,0.04,,0.03,-0.01,,0.03,0.03,-0.59
-0.04,,0.02,0.08,,0.02,0.04,,0.02,-0.01,,0.02,0.03,-0.59
-0.04,,0.02,0.08,,0.02,0.04,,0.02,-0.01,,0.02,0.02,-0.59
-0.04,,0.01,0.08,,0.01,0.04,,0.01,-0.01,,0.01,0.02,-0.59
-0.04,,0,0.08,,0,0.04,,0,-0.01,,0,0.01,-0.59

